trt01p,comp24fl,dcreascd,procedure,factor,denominator,measure,unit
Placebo,Y,_ALL_,count,quantity,_ALL_,60,
Placebo,Y,_ALL_,percent,proportion,comp24fl,69.76744186,
Xanomeline Low Dose,Y,_ALL_,count,quantity,_ALL_,28,
Xanomeline Low Dose,Y,_ALL_,percent,proportion,comp24fl,33.333333333,
Xanomeline High Dose,Y,_ALL_,count,quantity,_ALL_,30,
Xanomeline High Dose,Y,_ALL_,percent,proportion,comp24fl,35.714285714,
Placebo,N,_ALL_,count,quantity,_ALL_,26,
Placebo,N,_ALL_,percent,proportion,comp24fl,30.23255814,
Xanomeline Low Dose,N,_ALL_,count,quantity,_ALL_,56,
Xanomeline Low Dose,N,_ALL_,percent,proportion,comp24fl,66.666666667,
Xanomeline High Dose,N,_ALL_,count,quantity,_ALL_,54,
Xanomeline High Dose,N,_ALL_,percent,proportion,comp24fl,64.285714286,
Placebo,_ALL_,_ALL_,count,quantity,_ALL_,0,
Placebo,_ALL_,_ALL_,percent,proportion,comp24fl,0,
Xanomeline Low Dose,_ALL_,_ALL_,count,quantity,_ALL_,0,
Xanomeline Low Dose,_ALL_,_ALL_,percent,proportion,comp24fl,0,
Xanomeline High Dose,_ALL_,_ALL_,count,quantity,_ALL_,0,
Xanomeline High Dose,_ALL_,_ALL_,percent,proportion,comp24fl,0,
_ALL_,Y,_ALL_,count,quantity,_ALL_,118,
_ALL_,Y,_ALL_,percent,proportion,comp24fl,46.456692913,
_ALL_,N,_ALL_,count,quantity,_ALL_,136,
_ALL_,N,_ALL_,percent,proportion,comp24fl,53.543307087,
_ALL_,_ALL_,_ALL_,count,quantity,_ALL_,0,
_ALL_,_ALL_,_ALL_,percent,proportion,comp24fl,0,
Placebo,N,Adverse Event,count,quantity,_ALL_,8,
Placebo,N,Adverse Event,percent,proportion,dcreascd,9.3023255814,
Xanomeline Low Dose,N,Adverse Event,count,quantity,_ALL_,44,
Xanomeline Low Dose,N,Adverse Event,percent,proportion,dcreascd,52.380952381,
Xanomeline High Dose,N,Adverse Event,count,quantity,_ALL_,39,
Xanomeline High Dose,N,Adverse Event,percent,proportion,dcreascd,46.428571429,
Placebo,N,Death,count,quantity,_ALL_,1,
Placebo,N,Death,percent,proportion,dcreascd,1.1627906977,
Xanomeline Low Dose,N,Death,count,quantity,_ALL_,1,
Xanomeline Low Dose,N,Death,percent,proportion,dcreascd,1.1904761905,
Xanomeline High Dose,N,Death,count,quantity,_ALL_,0,
Xanomeline High Dose,N,Death,percent,proportion,dcreascd,0,
Placebo,N,Lack of Efficacy,count,quantity,_ALL_,3,
Placebo,N,Lack of Efficacy,percent,proportion,dcreascd,3.488372093,
Xanomeline Low Dose,N,Lack of Efficacy,count,quantity,_ALL_,0,
Xanomeline Low Dose,N,Lack of Efficacy,percent,proportion,dcreascd,0,
Xanomeline High Dose,N,Lack of Efficacy,count,quantity,_ALL_,1,
Xanomeline High Dose,N,Lack of Efficacy,percent,proportion,dcreascd,1.1904761905,
Placebo,N,Lost to Follow-up,count,quantity,_ALL_,1,
Placebo,N,Lost to Follow-up,percent,proportion,dcreascd,1.1627906977,
Xanomeline Low Dose,N,Lost to Follow-up,count,quantity,_ALL_,0,
Xanomeline Low Dose,N,Lost to Follow-up,percent,proportion,dcreascd,0,
Xanomeline High Dose,N,Lost to Follow-up,count,quantity,_ALL_,0,
Xanomeline High Dose,N,Lost to Follow-up,percent,proportion,dcreascd,0,
Placebo,N,Withdrew Consent,count,quantity,_ALL_,9,
Placebo,N,Withdrew Consent,percent,proportion,dcreascd,10.465116279,
Xanomeline Low Dose,N,Withdrew Consent,count,quantity,_ALL_,8,
Xanomeline Low Dose,N,Withdrew Consent,percent,proportion,dcreascd,9.5238095238,
Xanomeline High Dose,N,Withdrew Consent,count,quantity,_ALL_,8,
Xanomeline High Dose,N,Withdrew Consent,percent,proportion,dcreascd,9.5238095238,
Placebo,N,Physician Decision,count,quantity,_ALL_,1,
Placebo,N,Physician Decision,percent,proportion,dcreascd,1.1627906977,
Xanomeline Low Dose,N,Physician Decision,count,quantity,_ALL_,0,
Xanomeline Low Dose,N,Physician Decision,percent,proportion,dcreascd,0,
Xanomeline High Dose,N,Physician Decision,count,quantity,_ALL_,2,
Xanomeline High Dose,N,Physician Decision,percent,proportion,dcreascd,2.380952381,
Placebo,N,I/E Not Met,count,quantity,_ALL_,1,
Placebo,N,I/E Not Met,percent,proportion,dcreascd,1.1627906977,
Xanomeline Low Dose,N,I/E Not Met,count,quantity,_ALL_,0,
Xanomeline Low Dose,N,I/E Not Met,percent,proportion,dcreascd,0,
Xanomeline High Dose,N,I/E Not Met,count,quantity,_ALL_,2,
Xanomeline High Dose,N,I/E Not Met,percent,proportion,dcreascd,2.380952381,
Placebo,N,Protocol Violation,count,quantity,_ALL_,1,
Placebo,N,Protocol Violation,percent,proportion,dcreascd,1.1627906977,
Xanomeline Low Dose,N,Protocol Violation,count,quantity,_ALL_,1,
Xanomeline Low Dose,N,Protocol Violation,percent,proportion,dcreascd,1.1904761905,
Xanomeline High Dose,N,Protocol Violation,count,quantity,_ALL_,1,
Xanomeline High Dose,N,Protocol Violation,percent,proportion,dcreascd,1.1904761905,
Placebo,N,Sponsor Decision,count,quantity,_ALL_,1,
Placebo,N,Sponsor Decision,percent,proportion,dcreascd,1.1627906977,
Xanomeline Low Dose,N,Sponsor Decision,count,quantity,_ALL_,2,
Xanomeline Low Dose,N,Sponsor Decision,percent,proportion,dcreascd,2.380952381,
Xanomeline High Dose,N,Sponsor Decision,count,quantity,_ALL_,1,
Xanomeline High Dose,N,Sponsor Decision,percent,proportion,dcreascd,1.1904761905,
Placebo,N,Missing,count,quantity,_ALL_,0,
Placebo,N,Missing,percent,proportion,dcreascd,0,
Xanomeline Low Dose,N,Missing,count,quantity,_ALL_,0,
Xanomeline Low Dose,N,Missing,percent,proportion,dcreascd,0,
Xanomeline High Dose,N,Missing,count,quantity,_ALL_,0,
Xanomeline High Dose,N,Missing,percent,proportion,dcreascd,0,
Placebo,N,Completed,count,quantity,_ALL_,0,
Placebo,N,Completed,percent,proportion,dcreascd,0,
Xanomeline Low Dose,N,Completed,count,quantity,_ALL_,0,
Xanomeline Low Dose,N,Completed,percent,proportion,dcreascd,0,
Xanomeline High Dose,N,Completed,count,quantity,_ALL_,0,
Xanomeline High Dose,N,Completed,percent,proportion,dcreascd,0,
_ALL_,N,Adverse Event,count,quantity,_ALL_,91,
_ALL_,N,Adverse Event,percent,proportion,dcreascd,35.826771654,
_ALL_,N,Death,count,quantity,_ALL_,2,
_ALL_,N,Death,percent,proportion,dcreascd,0.7874015748,
_ALL_,N,Lack of Efficacy,count,quantity,_ALL_,4,
_ALL_,N,Lack of Efficacy,percent,proportion,dcreascd,1.5748031496,
_ALL_,N,Lost to Follow-up,count,quantity,_ALL_,1,
_ALL_,N,Lost to Follow-up,percent,proportion,dcreascd,0.3937007874,
_ALL_,N,Withdrew Consent,count,quantity,_ALL_,25,
_ALL_,N,Withdrew Consent,percent,proportion,dcreascd,9.842519685,
_ALL_,N,Physician Decision,count,quantity,_ALL_,3,
_ALL_,N,Physician Decision,percent,proportion,dcreascd,1.1811023622,
_ALL_,N,I/E Not Met,count,quantity,_ALL_,3,
_ALL_,N,I/E Not Met,percent,proportion,dcreascd,1.1811023622,
_ALL_,N,Protocol Violation,count,quantity,_ALL_,3,
_ALL_,N,Protocol Violation,percent,proportion,dcreascd,1.1811023622,
_ALL_,N,Sponsor Decision,count,quantity,_ALL_,4,
_ALL_,N,Sponsor Decision,percent,proportion,dcreascd,1.5748031496,
_ALL_,N,Missing,count,quantity,_ALL_,0,
_ALL_,N,Missing,percent,proportion,dcreascd,0,
_ALL_,N,Completed,count,quantity,_ALL_,0,
_ALL_,N,Completed,percent,proportion,dcreascd,0,
