compType,compName,codeType,nciDomainValue,compLabel,Comment
dimension,etfl,DATA,,Early termination prior to week 24,
dimension,ittfl,DATA,,Intent-To-Treat Population Flag,
dimension,saffl,DATA,,Safety Population Flag,
dimension,comp24fl,DATA,,Completers of Week 24 Population Flag,
dimension,compfl,DATA,,Complete Study,
dimension,trt01p,DATA,,Planned Treatment for Period 01,
dimension,aedisfl,DATA,,Adverse Event,
dimension,dthdisfl,DATA,,Death,
dimension,lefdisfl,DATA,,Lack of Efficacy,
dimension,ltfdisfl,DATA,,Lost to Follow-up,
dimension,pdndisfl,DATA,,Physician Decided to withdraw Subject,
dimension,pviodisfl,DATA,,Protocol violation,
dimension,stsdisfl,DATA,,Sponsor decision,
dimension,wbsdisfl,DATA,,Subject decided to withdraw,
dimension,procedure,DATA,,Statistical Procedure,
dimension,factor,DATA,,"Type of procedure (quantity, proportion...)",
attribute,unit,,,Unit of measure,
attribute,denominator,,,Denominator for a proportion (oskr) subset on which a statistic is based,
measure,measure,,,Value of the statistical measure,
metadata,obsURL,,,https://phuse-scripts.googlecode.com/svn/trunk/scriptathon2014/data/adsl.xpt,obsFileName
metadata,obsFileName,,,tab1x02_1.csv,obsFileName
metadata,dataCubeFileName,,,DC-TAB1X02_1,Cube name prefix (will be appended with version number by script. --> No. Will be set in code based on domainName parameter)
metadata,cubeVersion,,,0.0.0,Version of cube with format n.n.n
metadata,createdBy,,,Foo,Person who configures this spreadsheet and runs the creation script to create the cube
metadata,description,,,Data from adsl1.sas program,Cube description
metadata,providedBy,,,PhUSE Results Metadata Working Group,
metadata,comment,,,,Table 14-1.02 Summary of Disposition (version _1)
metadata,title,,,Demographics Analysis Results,Table 14-1.02 Summary of Disposition (version _1)
metadata,label,,,Table 14-1.02 Summary of Disposition (version _1),
metadata,wasDerivedFrom,,,tab1x02_1.csv,Data source (obsFileName). Set this programmtically based on name of input file!
metadata,domainName,,,TAB1X02_1,"The domain name, also part of the spreadsheet tab name"
metadata,obsFileNameDirec,,,!example,The directory containd the wasDerivedFrom file
metadata,dataCubeOutDirec,,,!temporary,
metadata,extension.rrdfqbcrnd0,,,TRUE,
