SITEID,SITEGR1,ITTFL,EFFFL,COMP24FL,TRT01P,procedure,factor,denominator,measure,unit
701,701,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,14,
701,701,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,13,
701,701,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,14,
703,703,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,6,
703,703,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,6,
703,703,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,6,
704,704,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,9,
704,704,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,8,
704,704,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,8,
705,705,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,5,
705,705,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,5,
705,705,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,6,
708,708,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,9,
708,708,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,8,
708,708,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,8,
709,709,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,7,
709,709,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,7,
709,709,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,7,
710,710,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,11,
710,710,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,10,
710,710,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,10,
713,713,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,3,
713,713,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,3,
713,713,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,3,
716,716,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,8,
716,716,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,8,
716,716,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,8,
718,718,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,4,
718,718,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,5,
718,718,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,4,
702,900,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,1,
706,900,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,1,
706,900,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,1,
706,900,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,1,
707,900,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,1,
707,900,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,1,
711,900,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,1,
711,900,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,1,
711,900,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,2,
714,900,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,2,
714,900,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,2,
714,900,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,2,
715,900,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,3,
715,900,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,3,
715,900,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,2,
717,900,Y,_ALL_,_ALL_,Placebo,count,quantify,_ALL_,2,
717,900,Y,_ALL_,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,2,
717,900,Y,_ALL_,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,3,
701,701,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,14,
701,701,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,13,
701,701,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,14,
703,703,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,5,
703,703,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,5,
703,703,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,5,
704,704,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,9,
704,704,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,7,
704,704,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,8,
705,705,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,3,
705,705,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,5,
705,705,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,4,
708,708,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,9,
708,708,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,8,
708,708,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,5,
709,709,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,7,
709,709,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,6,
709,709,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,7,
710,710,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,8,
710,710,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,10,
710,710,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,8,
713,713,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,3,
713,713,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,3,
713,713,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,2,
716,716,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,8,
716,716,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,8,
716,716,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,8,
718,718,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,4,
718,718,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,5,
718,718,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,4,
702,900,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,1,
706,900,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,1,
706,900,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,1,
706,900,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,1,
707,900,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,1,
707,900,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,1,
711,900,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,1,
711,900,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,1,
711,900,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,1,
714,900,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,2,
714,900,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,2,
714,900,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,2,
715,900,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,2,
715,900,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,3,
715,900,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,2,
717,900,_ALL_,Y,_ALL_,Placebo,count,quantify,_ALL_,2,
717,900,_ALL_,Y,_ALL_,Xanomeline Low Dose,count,quantify,_ALL_,2,
717,900,_ALL_,Y,_ALL_,Xanomeline High Dose,count,quantify,_ALL_,3,
701,701,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,11,
701,701,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,5,
701,701,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantify,_ALL_,7,
703,703,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,4,
703,703,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,1,
703,703,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantify,_ALL_,2,
704,704,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,5,
704,704,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,3,
705,705,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,2,
705,705,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,3,
705,705,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantify,_ALL_,1,
708,708,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,7,
708,708,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,2,
708,708,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantify,_ALL_,2,
709,709,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,5,
709,709,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,2,
709,709,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantify,_ALL_,3,
710,710,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,6,
710,710,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,2,
710,710,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantify,_ALL_,5,
713,713,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,3,
713,713,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,2,
713,713,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantify,_ALL_,2,
716,716,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,7,
716,716,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,3,
716,716,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantify,_ALL_,3,
718,718,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,3,
718,718,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,1,
718,718,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantify,_ALL_,1,
706,900,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,1,
707,900,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,1,
711,900,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,1,
714,900,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,2,
714,900,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,1,
714,900,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantify,_ALL_,1,
715,900,_ALL_,_ALL_,Y,Placebo,count,quantify,_ALL_,2,
715,900,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,1,
717,900,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantify,_ALL_,2,
717,900,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantify,_ALL_,3,
701,701,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,41,
703,703,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,18,
704,704,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,25,
705,705,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,16,
708,708,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,25,
709,709,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,21,
710,710,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,31,
713,713,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,9,
716,716,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,24,
718,718,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,13,
702,900,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,1,
706,900,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,3,
707,900,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,2,
711,900,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,4,
714,900,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,6,
715,900,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,8,
717,900,Y,_ALL_,_ALL_,_ALL_,count,quantify,_ALL_,7,
701,701,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,41,
703,703,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,15,
704,704,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,24,
705,705,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,12,
708,708,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,22,
709,709,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,20,
710,710,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,26,
713,713,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,8,
716,716,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,24,
718,718,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,13,
702,900,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,1,
706,900,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,3,
707,900,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,2,
711,900,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,3,
714,900,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,6,
715,900,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,7,
717,900,_ALL_,Y,_ALL_,_ALL_,count,quantify,_ALL_,7,
701,701,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,23,
703,703,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,7,
704,704,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,8,
705,705,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,6,
708,708,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,11,
709,709,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,10,
710,710,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,13,
713,713,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,7,
716,716,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,13,
718,718,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,5,
706,900,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,1,
707,900,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,1,
711,900,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,1,
714,900,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,4,
715,900,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,3,
717,900,_ALL_,_ALL_,Y,_ALL_,count,quantify,_ALL_,5,
