trtpn,efffl,anl01fl,avisit,paramcd,procedure,factor,denominator,measure,unit
0,Y,Y,Week 24,ACTOT,n,base,_ALL_,79,
0,Y,Y,Week 24,ACTOT,mean,base,_ALL_,24.121780882,
0,Y,Y,Week 24,ACTOT,stddev,base,_ALL_,12.186369514,
0,Y,Y,Week 24,ACTOT,median,base,_ALL_,21,
0,Y,Y,Week 24,ACTOT,min,base,_ALL_,5,
0,Y,Y,Week 24,ACTOT,max,base,_ALL_,61,
0,Y,Y,Week 24,ACTOT,n,chg,_ALL_,79,
0,Y,Y,Week 24,ACTOT,mean,chg,_ALL_,2.5447402881,
0,Y,Y,Week 24,ACTOT,stddev,chg,_ALL_,5.8038991966,
0,Y,Y,Week 24,ACTOT,median,chg,_ALL_,2,
0,Y,Y,Week 24,ACTOT,min,chg,_ALL_,-11,
0,Y,Y,Week 24,ACTOT,max,chg,_ALL_,16,
0,Y,Y,Week 24,ACTOT,n,aval,_ALL_,79,
0,Y,Y,Week 24,ACTOT,mean,aval,_ALL_,26.66652117,
0,Y,Y,Week 24,ACTOT,stddev,aval,_ALL_,13.794293407,
0,Y,Y,Week 24,ACTOT,median,aval,_ALL_,24,
0,Y,Y,Week 24,ACTOT,min,aval,_ALL_,5,
0,Y,Y,Week 24,ACTOT,max,aval,_ALL_,61.551724138,
54,Y,Y,Week 24,ACTOT,n,base,_ALL_,81,
54,Y,Y,Week 24,ACTOT,mean,base,_ALL_,24.407407407,
54,Y,Y,Week 24,ACTOT,stddev,base,_ALL_,12.922447852,
54,Y,Y,Week 24,ACTOT,median,base,_ALL_,21,
54,Y,Y,Week 24,ACTOT,min,base,_ALL_,5,
54,Y,Y,Week 24,ACTOT,max,base,_ALL_,56.724137931,
54,Y,Y,Week 24,ACTOT,n,chg,_ALL_,81,
54,Y,Y,Week 24,ACTOT,mean,chg,_ALL_,1.9953171562,
54,Y,Y,Week 24,ACTOT,stddev,chg,_ALL_,5.5527862367,
54,Y,Y,Week 24,ACTOT,median,chg,_ALL_,2,
54,Y,Y,Week 24,ACTOT,min,chg,_ALL_,-11,
54,Y,Y,Week 24,ACTOT,max,chg,_ALL_,17,
54,Y,Y,Week 24,ACTOT,n,aval,_ALL_,81,
54,Y,Y,Week 24,ACTOT,mean,aval,_ALL_,26.402724564,
54,Y,Y,Week 24,ACTOT,stddev,aval,_ALL_,13.180654837,
54,Y,Y,Week 24,ACTOT,median,aval,_ALL_,25,
54,Y,Y,Week 24,ACTOT,min,aval,_ALL_,6,
54,Y,Y,Week 24,ACTOT,max,aval,_ALL_,62,
81,Y,Y,Week 24,ACTOT,n,base,_ALL_,74,
81,Y,Y,Week 24,ACTOT,mean,base,_ALL_,21.297297297,
81,Y,Y,Week 24,ACTOT,stddev,base,_ALL_,11.736525039,
81,Y,Y,Week 24,ACTOT,median,base,_ALL_,18,
81,Y,Y,Week 24,ACTOT,min,base,_ALL_,3,
81,Y,Y,Week 24,ACTOT,max,base,_ALL_,57,
81,Y,Y,Week 24,ACTOT,n,chg,_ALL_,74,
81,Y,Y,Week 24,ACTOT,mean,chg,_ALL_,1.4704877291,
81,Y,Y,Week 24,ACTOT,stddev,chg,_ALL_,4.2623848717,
81,Y,Y,Week 24,ACTOT,median,chg,_ALL_,1,
81,Y,Y,Week 24,ACTOT,min,chg,_ALL_,-7,
81,Y,Y,Week 24,ACTOT,max,chg,_ALL_,13,
81,Y,Y,Week 24,ACTOT,n,aval,_ALL_,74,
81,Y,Y,Week 24,ACTOT,mean,aval,_ALL_,22.767785026,
81,Y,Y,Week 24,ACTOT,stddev,aval,_ALL_,12.483580375,
81,Y,Y,Week 24,ACTOT,median,aval,_ALL_,20,
81,Y,Y,Week 24,ACTOT,min,aval,_ALL_,3,
81,Y,Y,Week 24,ACTOT,max,aval,_ALL_,61.551724138,
