trtpn,efffl,anl01fl,avisit,paramcd,agegr1,procedure,factor,denominator,measure,unit
0,Y,Y,Week 24,ACTOT,65-80,n,base,_ALL_,40,
0,Y,Y,Week 24,ACTOT,65-80,mean,base,_ALL_,26.340517241,
0,Y,Y,Week 24,ACTOT,65-80,stddev,base,_ALL_,13.260355148,
0,Y,Y,Week 24,ACTOT,65-80,median,base,_ALL_,24,
0,Y,Y,Week 24,ACTOT,65-80,min,base,_ALL_,5,
0,Y,Y,Week 24,ACTOT,65-80,max,base,_ALL_,61,
0,Y,Y,Week 24,ACTOT,65-80,n,chg,_ALL_,40,
0,Y,Y,Week 24,ACTOT,65-80,mean,chg,_ALL_,3.150862069,
0,Y,Y,Week 24,ACTOT,65-80,stddev,chg,_ALL_,6.0275275694,
0,Y,Y,Week 24,ACTOT,65-80,median,chg,_ALL_,2.5,
0,Y,Y,Week 24,ACTOT,65-80,min,chg,_ALL_,-10,
0,Y,Y,Week 24,ACTOT,65-80,max,chg,_ALL_,16,
0,Y,Y,Week 24,ACTOT,65-80,n,aval,_ALL_,40,
0,Y,Y,Week 24,ACTOT,65-80,mean,aval,_ALL_,29.49137931,
0,Y,Y,Week 24,ACTOT,65-80,stddev,aval,_ALL_,14.527201713,
0,Y,Y,Week 24,ACTOT,65-80,median,aval,_ALL_,26,
0,Y,Y,Week 24,ACTOT,65-80,min,aval,_ALL_,5,
0,Y,Y,Week 24,ACTOT,65-80,max,aval,_ALL_,61.551724138,
54,Y,Y,Week 24,ACTOT,65-80,n,base,_ALL_,45,
54,Y,Y,Week 24,ACTOT,65-80,mean,base,_ALL_,26.644444444,
54,Y,Y,Week 24,ACTOT,65-80,stddev,base,_ALL_,13.385820376,
54,Y,Y,Week 24,ACTOT,65-80,median,base,_ALL_,25,
54,Y,Y,Week 24,ACTOT,65-80,min,base,_ALL_,7,
54,Y,Y,Week 24,ACTOT,65-80,max,base,_ALL_,56.724137931,
54,Y,Y,Week 24,ACTOT,65-80,n,chg,_ALL_,45,
54,Y,Y,Week 24,ACTOT,65-80,mean,chg,_ALL_,1.9310344828,
54,Y,Y,Week 24,ACTOT,65-80,stddev,chg,_ALL_,5.5498741052,
54,Y,Y,Week 24,ACTOT,65-80,median,chg,_ALL_,1,
54,Y,Y,Week 24,ACTOT,65-80,min,chg,_ALL_,-8,
54,Y,Y,Week 24,ACTOT,65-80,max,chg,_ALL_,17,
54,Y,Y,Week 24,ACTOT,65-80,n,aval,_ALL_,45,
54,Y,Y,Week 24,ACTOT,65-80,mean,aval,_ALL_,28.575478927,
54,Y,Y,Week 24,ACTOT,65-80,stddev,aval,_ALL_,13.875295516,
54,Y,Y,Week 24,ACTOT,65-80,median,aval,_ALL_,27,
54,Y,Y,Week 24,ACTOT,65-80,min,aval,_ALL_,7,
54,Y,Y,Week 24,ACTOT,65-80,max,aval,_ALL_,62,
81,Y,Y,Week 24,ACTOT,65-80,n,base,_ALL_,50,
81,Y,Y,Week 24,ACTOT,65-80,mean,base,_ALL_,21.96,
81,Y,Y,Week 24,ACTOT,65-80,stddev,base,_ALL_,11.792353109,
81,Y,Y,Week 24,ACTOT,65-80,median,base,_ALL_,18,
81,Y,Y,Week 24,ACTOT,65-80,min,base,_ALL_,3,
81,Y,Y,Week 24,ACTOT,65-80,max,base,_ALL_,57,
81,Y,Y,Week 24,ACTOT,65-80,n,chg,_ALL_,50,
81,Y,Y,Week 24,ACTOT,65-80,mean,chg,_ALL_,1.0163218391,
81,Y,Y,Week 24,ACTOT,65-80,stddev,chg,_ALL_,4.3486468313,
81,Y,Y,Week 24,ACTOT,65-80,median,chg,_ALL_,1,
81,Y,Y,Week 24,ACTOT,65-80,min,chg,_ALL_,-7,
81,Y,Y,Week 24,ACTOT,65-80,max,chg,_ALL_,13,
81,Y,Y,Week 24,ACTOT,65-80,n,aval,_ALL_,50,
81,Y,Y,Week 24,ACTOT,65-80,mean,aval,_ALL_,22.976321839,
81,Y,Y,Week 24,ACTOT,65-80,stddev,aval,_ALL_,12.209285688,
81,Y,Y,Week 24,ACTOT,65-80,median,aval,_ALL_,20,
81,Y,Y,Week 24,ACTOT,65-80,min,aval,_ALL_,3,
81,Y,Y,Week 24,ACTOT,65-80,max,aval,_ALL_,61.551724138,
0,Y,Y,Week 24,ACTOT,<65,n,base,_ALL_,13,
0,Y,Y,Week 24,ACTOT,<65,mean,base,_ALL_,24.076923077,
0,Y,Y,Week 24,ACTOT,<65,stddev,base,_ALL_,13.493588221,
0,Y,Y,Week 24,ACTOT,<65,median,base,_ALL_,19,
0,Y,Y,Week 24,ACTOT,<65,min,base,_ALL_,12,
0,Y,Y,Week 24,ACTOT,<65,max,base,_ALL_,51,
0,Y,Y,Week 24,ACTOT,<65,n,chg,_ALL_,13,
0,Y,Y,Week 24,ACTOT,<65,mean,chg,_ALL_,0.4615384615,
0,Y,Y,Week 24,ACTOT,<65,stddev,chg,_ALL_,5.2696518641,
0,Y,Y,Week 24,ACTOT,<65,median,chg,_ALL_,2,
0,Y,Y,Week 24,ACTOT,<65,min,chg,_ALL_,-11,
0,Y,Y,Week 24,ACTOT,<65,max,chg,_ALL_,7,
0,Y,Y,Week 24,ACTOT,<65,n,aval,_ALL_,13,
0,Y,Y,Week 24,ACTOT,<65,mean,aval,_ALL_,24.538461538,
0,Y,Y,Week 24,ACTOT,<65,stddev,aval,_ALL_,15.767135571,
0,Y,Y,Week 24,ACTOT,<65,median,aval,_ALL_,19,
0,Y,Y,Week 24,ACTOT,<65,min,aval,_ALL_,8,
0,Y,Y,Week 24,ACTOT,<65,max,aval,_ALL_,58,
54,Y,Y,Week 24,ACTOT,<65,n,base,_ALL_,7,
54,Y,Y,Week 24,ACTOT,<65,mean,base,_ALL_,13.285714286,
54,Y,Y,Week 24,ACTOT,<65,stddev,base,_ALL_,7.931252228,
54,Y,Y,Week 24,ACTOT,<65,median,base,_ALL_,12,
54,Y,Y,Week 24,ACTOT,<65,min,base,_ALL_,5,
54,Y,Y,Week 24,ACTOT,<65,max,base,_ALL_,29,
54,Y,Y,Week 24,ACTOT,<65,n,chg,_ALL_,7,
54,Y,Y,Week 24,ACTOT,<65,mean,chg,_ALL_,-0.428571429,
54,Y,Y,Week 24,ACTOT,<65,stddev,chg,_ALL_,7.1846397,
54,Y,Y,Week 24,ACTOT,<65,median,chg,_ALL_,-1,
54,Y,Y,Week 24,ACTOT,<65,min,chg,_ALL_,-9,
54,Y,Y,Week 24,ACTOT,<65,max,chg,_ALL_,13,
54,Y,Y,Week 24,ACTOT,<65,n,aval,_ALL_,7,
54,Y,Y,Week 24,ACTOT,<65,mean,aval,_ALL_,12.857142857,
54,Y,Y,Week 24,ACTOT,<65,stddev,aval,_ALL_,6.9385053969,
