saffl,trtemfl,aesoc,aedecod,trta,procedure,factor,denominator,measure,unit
Y,Y,CARDIAC DISORDERS,ATRIAL FIBRILLATION,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIAL FIBRILLATION,Placebo,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIAL FIBRILLATION,Xanomeline High Dose,countdistinct,usubjid,_ALL_,3,
Y,Y,CARDIAC DISORDERS,ATRIAL FIBRILLATION,Xanomeline High Dose,count,quantify,_ALL_,5,
Y,Y,CARDIAC DISORDERS,ATRIAL FIBRILLATION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIAL FIBRILLATION,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIAL FLUTTER,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIAL FLUTTER,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,CARDIAC DISORDERS,ATRIAL FLUTTER,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIAL FLUTTER,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIAL HYPERTROPHY,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIAL HYPERTROPHY,Placebo,count,quantify,_ALL_,2,
Y,Y,CARDIAC DISORDERS,ATRIOVENTRICULAR BLOCK FIRST DEG,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIOVENTRICULAR BLOCK FIRST DEG,Placebo,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIOVENTRICULAR BLOCK FIRST DEG,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIOVENTRICULAR BLOCK FIRST DEG,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIOVENTRICULAR BLOCK SECOND DE,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,ATRIOVENTRICULAR BLOCK SECOND DE,Placebo,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,BRADYCARDIA,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,BRADYCARDIA,Placebo,count,quantify,_ALL_,4,
Y,Y,CARDIAC DISORDERS,BUNDLE BRANCH BLOCK LEFT,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,BUNDLE BRANCH BLOCK LEFT,Placebo,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,BUNDLE BRANCH BLOCK RIGHT,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,BUNDLE BRANCH BLOCK RIGHT,Placebo,count,quantify,_ALL_,2,
Y,Y,CARDIAC DISORDERS,BUNDLE BRANCH BLOCK RIGHT,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,BUNDLE BRANCH BLOCK RIGHT,Xanomeline Low Dose,count,quantify,_ALL_,1,
